"Código INE" "Municipio" "A3-MNR" "A3-MNR%" "AAI" "AAI%" "ADN" "ADN%" "ALBA" "ALBA%" "APB" "APB%" "AS" "AS%" "ASI" "ASI%" "ASP" "ASP%" "AYRA" "AYRA%" "CDC" "CDC%" "CN" "CN%" "MACA" "MACA%" "MAR" "MAR%" "MAS" "MAS%" "MBL" "MBL%" "MCSFA" "MCSFA%" "MIBOL" "MIBOL%" "MIR-NM" "MIR-NM%" "MNR" "MNR%" "MNR-FRI" "MNR-FRI%" "MOP" "MOP%" "PODEMOS" "PODEMOS%" "TRADEPA" "TRADEPA%" "UCS" "UCS%" "UN" "UN%" "Válidos" "Blancos" "Nulos" "Emitidos" "Abstención" "Inscritos Habilitados"
"010402" "Tomina" "0" "0,00" "0" "0,00" "12" "0,92" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "71" "5,42" "0" "0,00" "0" "0,00" "953" "72,75" "66" "5,04" "0" "0,00" "0" "0,00" "32" "2,44" "35" "2,67" "0" "0,00" "0" "0,00" "93" "7,10" "0" "0,00" "33" "2,52" "15" "1,15" "1310" "476" "82" "1868" "401" "2269"
"010403" "Sopachuy" "0" "0,00" "0" "0,00" "21" "1,55" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "64" "4,73" "0" "0,00" "0" "0,00" "993" "73,45" "108" "7,99" "0" "0,00" "0" "0,00" "33" "2,44" "30" "2,22" "0" "0,00" "0" "0,00" "60" "4,44" "0" "0,00" "18" "1,33" "25" "1,85" "1352" "355" "79" "1786" "376" "2162"
"010404" "Villa Alcalá" "0" "0,00" "0" "0,00" "10" "1,72" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "41" "7,04" "0" "0,00" "0" "0,00" "343" "58,93" "65" "11,17" "0" "0,00" "0" "0,00" "17" "2,92" "27" "4,64" "0" "0,00" "0" "0,00" "31" "5,33" "0" "0,00" "15" "2,58" "33" "5,67" "582" "200" "57" "839" "203" "1042"
"010405" "El Villar" "0" "0,00" "0" "0,00" "15" "2,07" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "35" "4,84" "0" "0,00" "0" "0,00" "488" "67,50" "75" "10,37" "0" "0,00" "0" "0,00" "26" "3,60" "20" "2,77" "0" "0,00" "0" "0,00" "33" "4,56" "0" "0,00" "14" "1,94" "17" "2,35" "723" "232" "56" "1011" "278" "1289"
"010501" "Monteagudo" "0" "0,00" "0" "0,00" "237" "4,99" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "245" "5,16" "0" "0,00" "0" "0,00" "2368" "49,83" "131" "2,76" "0" "0,00" "0" "0,00" "215" "4,52" "394" "8,29" "0" "0,00" "0" "0,00" "927" "19,51" "0" "0,00" "71" "1,49" "164" "3,45" "4752" "1572" "234" "6558" "1399" "7957"
"010502" "San Pablo de Huacareta" "0" "0,00" "0" "0,00" "129" "9,56" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "42" "3,11" "0" "0,00" "0" "0,00" "432" "32,02" "99" "7,34" "0" "0,00" "0" "0,00" "293" "21,72" "98" "7,26" "0" "0,00" "0" "0,00" "217" "16,09" "0" "0,00" "22" "1,63" "17" "1,26" "1349" "502" "64" "1915" "563" "2478"
"010601" "Tarabuco" "0" "0,00" "0" "0,00" "51" "1,33" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "188" "4,89" "0" "0,00" "0" "0,00" "2983" "77,54" "139" "3,61" "0" "0,00" "0" "0,00" "127" "3,30" "73" "1,90" "0" "0,00" "0" "0,00" "170" "4,42" "0" "0,00" "69" "1,79" "47" "1,22" "3847" "1674" "253" "5774" "952" "6726"
"010602" "Yamparez" "0" "0,00" "0" "0,00" "37" "1,81" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "109" "5,33" "0" "0,00" "0" "0,00" "1533" "75,00" "41" "2,01" "0" "0,00" "0" "0,00" "39" "1,91" "49" "2,40" "0" "0,00" "0" "0,00" "168" "8,22" "0" "0,00" "34" "1,66" "34" "1,66" "2044" "987" "165" "3196" "597" "3793"
"010701" "Camargo" "0" "0,00" "0" "0,00" "51" "1,56" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "133" "4,08" "0" "0,00" "0" "0,00" "1660" "50,90" "44" "1,35" "0" "0,00" "0" "0,00" "507" "15,55" "312" "9,57" "0" "0,00" "0" "0,00" "401" "12,30" "0" "0,00" "53" "1,63" "100" "3,07" "3261" "903" "179" "4343" "1050" "5393"
"010702" "San Lucas" "0" "0,00" "0" "0,00" "123" "2,11" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "330" "5,67" "0" "0,00" "0" "0,00" "4440" "76,24" "178" "3,06" "0" "0,00" "0" "0,00" "122" "2,09" "159" "2,73" "0" "0,00" "0" "0,00" "276" "4,74" "0" "0,00" "102" "1,75" "94" "1,61" "5824" "1631" "287" "7742" "1625" "9367"
